error,pos,correction,error phrase,correct phrase,num of this error-correction phrase occur,num of this error-correction pair occur,collocation,category of collocation,total num of error time this error-correction pairs fall into this collocation category,unique num of error-correction pairs fall into this collocation category,total num of error occur,error_collocation,correction_collocation
make,VERB,have,make synergy,have synergy,4,536,synergy,misc-ap-0,76,42,4016,0,0
make,VERB,have,make disorganization,have disorganization,1,536,disorganization,misc-ap-0,76,42,4016,0,0
make,VERB,have,make bf,have bf,2,536,bf,misc-ap-0,76,42,4016,0,0
make,VERB,have,make misunderstanding,have misunderstanding,1,536,misunderstanding,misc-ap-0,76,42,4016,0,0
make,VERB,have,make café,have café,1,536,café,misc-ap-0,76,42,4016,0,0
make,VERB,have,make face,have face,1,536,face,misc-ap-0,76,42,4016,0,106
make,VERB,have,make saury,have saury,1,536,saury,misc-ap-0,76,42,4016,0,0
make,VERB,have,make ending,have ending,6,536,ending,misc-ap-0,76,42,4016,4,58
make,VERB,have,make stillness,have stillness,1,536,stillness,misc-ap-0,76,42,4016,0,0
make,VERB,have,make holiday,have holiday,3,536,holiday,misc-ap-0,76,42,4016,0,22
make,VERB,have,make t,have t,3,536,t,misc-ap-0,76,42,4016,0,0
make,VERB,have,make student,have student,1,536,student,misc-ap-0,76,42,4016,40,246
make,VERB,have,make taste,have taste,1,536,taste,misc-ap-0,76,42,4016,6,183
make,VERB,have,make gf,have gf,1,536,gf,misc-ap-0,76,42,4016,0,0
make,VERB,have,make internet,have internet,1,536,internet,misc-ap-0,76,42,4016,0,0
make,VERB,have,make hemorrhoid,have hemorrhoid,1,536,hemorrhoid,misc-ap-0,76,42,4016,0,2
make,VERB,have,make coordination,have coordination,1,536,coordination,misc-ap-0,76,42,4016,2,4
make,VERB,have,make impact,have impact,17,536,impact,misc-ap-0,76,42,4016,138,3046
make,VERB,have,make emotion,have emotion,1,536,emotion,misc-ap-0,76,42,4016,0,0
make,VERB,have,make lesson,have lesson,2,536,lesson,misc-ap-0,76,42,4016,0,37
make,VERB,have,make was---,have was---,1,536,was---,misc-ap-0,76,42,4016,0,0
make,VERB,have,make havinglesson,have havinglesson,1,536,havinglesson,misc-ap-0,76,42,4016,0,0
make,VERB,have,make dialog,have dialog,2,536,dialog,misc-ap-0,76,42,4016,0,0
make,VERB,have,make disadvantage,have disadvantage,1,536,disadvantage,misc-ap-0,76,42,4016,0,41
make,VERB,have,make homework,have homework,1,536,homework,misc-ap-0,76,42,4016,0,8
make,VERB,have,make podcast,have podcast,1,536,podcast,misc-ap-0,76,42,4016,0,0
make,VERB,have,make briefing,have briefing,1,536,briefing,misc-ap-0,76,42,4016,0,9
make,VERB,have,make cafe,have cafe,1,536,cafe,misc-ap-0,76,42,4016,0,0
make,VERB,have,make showroom,have showroom,1,536,showroom,misc-ap-0,76,42,4016,0,7
make,VERB,have,make interaction,have interaction,1,536,interaction,misc-ap-0,76,42,4016,0,10
make,VERB,have,make collaboration,have collaboration,1,536,collaboration,misc-ap-0,76,42,4016,0,0
make,VERB,have,make mariner,have mariner,1,536,mariner,misc-ap-0,76,42,4016,0,0
make,VERB,have,make selectivity,have selectivity,1,536,selectivity,misc-ap-0,76,42,4016,0,0
make,VERB,have,make partnership,have partnership,1,536,partnership,misc-ap-0,76,42,4016,1,36
make,VERB,have,make -,have -,1,536,-,misc-ap-0,76,42,4016,0,0
make,VERB,have,make family,have family,30,536,family,People,81,13,4016,32,349
make,VERB,have,make boy,have boy,1,536,boy,People,81,13,4016,1,71
make,VERB,have,make people,have people,8,536,people,People,81,13,4016,1,1287
make,VERB,have,make brother,have brother,2,536,brother,People,81,13,4016,0,93
make,VERB,have,make baby,have baby,14,536,baby,People,81,13,4016,12,388
make,VERB,have,make relation,have relation,2,536,relation,People,81,13,4016,0,413
make,VERB,have,make woman,have woman,3,536,woman,People,81,13,4016,1,129
make,VERB,have,make discussion,have discussion,7,536,discussion,"Communicating, mainly by Speaking and Talking",68,14,4016,0,455
make,VERB,have,make conversation,have conversation,45,536,conversation,"Communicating, mainly by Speaking and Talking",68,14,4016,1,264
make,VERB,have,make talk,have talk,2,536,talk,"Communicating, mainly by Speaking and Talking",68,14,4016,33,249
make,VERB,have,make debate,have debate,2,536,debate,"Communicating, mainly by Speaking and Talking",68,14,4016,10,52
make,VERB,have,make agreement,have agreement,1,536,agreement,"Communicating, mainly by Speaking and Talking",68,14,4016,1,685
make,VERB,have,make band,have band,1,536,band,Social Organization in Group and Places,51,11,4016,9,42
make,VERB,have,make party,have party,28,536,party,Social Organization in Group and Places,51,11,4016,42,180
make,VERB,have,make body,have body,6,536,body,Social Organization in Group and Places,51,11,4016,48,108
make,VERB,have,make country,have country,2,536,country,Social Organization in Group and Places,51,11,4016,1,107
make,VERB,have,make effect,have effect,26,536,effect,Causing,41,8,4016,1,3733
make,VERB,have,make reason,have reason,2,536,reason,Causing,41,8,4016,0,1293
make,VERB,have,make influence,have influence,8,536,influence,Causing,41,8,4016,0,592
