error,pos,correction,error phrase,correct phrase,num of this error-correction phrase occur,num of this error-correction pair occur,collocation,category of collocation,total num of error time this error-correction pairs fall into this collocation category,unique num of error-correction pairs fall into this collocation category,total num of error occur,error_collocation,correction_collocation
make,VERB,have,make conversation,have conversation,45,536,conversation,"Communicating, mainly by Speaking and Talking",68,14,4016,1,264
make,VERB,have,make discussion,have discussion,7,536,discussion,"Communicating, mainly by Speaking and Talking",68,14,4016,0,455
make,VERB,have,make talk,have talk,2,536,talk,"Communicating, mainly by Speaking and Talking",68,14,4016,33,249
make,VERB,have,make family,have family,30,536,family,People,81,13,4016,32,349
make,VERB,have,make baby,have baby,14,536,baby,People,81,13,4016,12,388
make,VERB,have,make people,have people,8,536,people,People,81,13,4016,1,1287
make,VERB,have,make party,have party,28,536,party,Social Organization in Group and Places,51,11,4016,42,180
make,VERB,have,make body,have body,6,536,body,Social Organization in Group and Places,51,11,4016,48,108
make,VERB,have,make country,have country,2,536,country,Social Organization in Group and Places,51,11,4016,1,107
make,VERB,have,make effect,have effect,26,536,effect,Causing,41,8,4016,1,3733
make,VERB,have,make influence,have influence,8,536,influence,Causing,41,8,4016,0,592
make,VERB,have,make reason,have reason,2,536,reason,Causing,41,8,4016,0,1293
make,VERB,have,make chance,have chance,11,536,chance,"Being, Becoming, and Happening",26,9,4016,30,2833
make,VERB,have,make accident,have accident,7,536,accident,"Being, Becoming, and Happening",26,9,4016,0,122
make,VERB,have,make class,have class,2,536,class,"Being, Becoming, and Happening",26,9,4016,12,102
make,VERB,do,make thing,do thing,52,1073,thing,Objects Generally,58,6,4016,1,5340
make,VERB,do,make staff,do staff,1,1073,staff,Objects Generally,58,6,4016,1,14
make,VERB,do,make bit,do bit,1,1073,bit,Objects Generally,58,6,4016,25,73
make,VERB,do,make work,do work,34,1073,work,Doing Things,40,4,4016,3,2367
make,VERB,do,make activity,do activity,4,1073,activity,Doing Things,40,4,4016,0,42
make,VERB,do,make activity,do activity,1,1073,activity,Doing Things,40,4,4016,0,42
make,VERB,do,make experiment,do experiment,17,1073,experiment,Science and Technology,30,5,4016,0,50
make,VERB,do,make test,do test,10,1073,test,Science and Technology,30,5,4016,77,187
make,VERB,do,make workshop,do workshop,1,1073,workshop,Science and Technology,30,5,4016,0,3
make,VERB,do,make job,do job,19,1073,job,"Business, Work, and Employment",57,3,4016,170,3471
make,VERB,do,make task,do task,4,1073,task,"Business, Work, and Employment",57,3,4016,1,88
make,VERB,do,make job,do job,1,1073,job,"Business, Work, and Employment",57,3,4016,170,3471
make,VERB,do,make paper,do paper,4,1073,paper,"Communicating, mainly by Reading and Writing, Printing and Publishing, Radio andF",36,23,4016,1,13
make,VERB,do,make diary,do diary,3,1073,diary,"Communicating, mainly by Reading and Writing, Printing and Publishing, Radio andF",36,23,4016,0,0
make,VERB,do,make essay,do essay,2,1073,essay,"Communicating, mainly by Reading and Writing, Printing and Publishing, Radio andF",36,23,4016,0,0
make,VERB,give,make presentation,give presentation,103,337,presentation,"Belonging and Owning, Getting and Giving",105,2,4016,1,32
make,VERB,give,make presentation,give presentation,1,337,presentation,"Belonging and Owning, Getting and Giving",105,2,4016,1,32
make,VERB,give,make speech,give speech,71,337,speech,"Communicating, mainly by Speaking and Talking",105,12,4016,2,410
make,VERB,give,make lecture,give lecture,9,337,lecture,"Communicating, mainly by Speaking and Talking",105,12,4016,0,1
make,VERB,give,make answer,give answer,8,337,answer,"Communicating, mainly by Speaking and Talking",105,12,4016,0,219
make,VERB,give,make discount,give discount,11,337,discount,Commerce,11,1,4016,0,71
make,VERB,give,make contract,give contract,1,337,contract,Commerce,7,6,4016,57,54
make,VERB,give,make discount,give discount,1,337,discount,Commerce,1,1,4016,0,71
make,VERB,give,make confidence,give confidence,8,337,confidence,"Possibility, Chance, and Necessity",13,6,4016,0,0
make,VERB,give,make importance,give importance,1,337,importance,"Possibility, Chance, and Necessity",13,6,4016,0,0
make,VERB,give,make necessity,give necessity,1,337,necessity,"Possibility, Chance, and Necessity",13,6,4016,0,1
make,VERB,give,make paper,give paper,2,337,paper,"Communicating, mainly by Reading and Writing, Printing and Publishing, Radio andF",10,7,4016,1,16
make,VERB,give,make impression,give impression,2,337,impression,"Communicating, mainly by Reading and Writing, Printing and Publishing, Radio andF",10,7,4016,1,259
make,VERB,give,make summary,give summary,1,337,summary,"Communicating, mainly by Reading and Writing, Printing and Publishing, Radio andF",10,7,4016,0,11
make,VERB,take,make picture,take picture,15,183,picture,Arts and Crafts,20,2,4016,1,1
make,VERB,take,make image,take image,5,183,image,Arts and Crafts,20,2,4016,1,22
make,VERB,take,make action,take action,14,183,action,Courts of Law and Legal Work,14,1,4016,4,21
make,VERB,take,make opportunity,take opportunity,11,183,opportunity,"Possibility, Chance, and Necessity",17,4,4016,0,188
make,VERB,take,make advantage,take advantage,1,183,advantage,"Possibility, Chance, and Necessity",17,4,4016,0,4
make,VERB,take,make opportunity,take opportunity,1,183,opportunity,"Possibility, Chance, and Necessity",23,6,4016,0,188
make,VERB,take,make time,take time,5,183,time,Time Generally,13,4,4016,1,7
make,VERB,take,make break,take break,4,183,break,Time Generally,13,4,4016,45,214
make,VERB,take,make occasion,take occasion,1,183,occasion,Time Generally,13,4,4016,0,11
make,VERB,take,make test,take test,8,183,test,Science and Technology,8,1,4016,77,390
make,VERB,take,make test,take test,1,183,test,Science and Technology,30,5,4016,77,390
make,VERB,get,make card,get card,12,117,card,"Communicating, mainly by Reading and Writing, Printing and Publishing, Radio andF",13,2,4016,0,73
make,VERB,get,make letter,get letter,1,117,letter,"Communicating, mainly by Reading and Writing, Printing and Publishing, Radio andF",13,2,4016,64,226
make,VERB,get,make book,get book,1,117,book,"Communicating, mainly by Reading and Writing, Printing and Publishing, Radio andF",36,23,4016,1,68
make,VERB,get,make result,get result,11,117,result,Sports and Games Generally,26,3,4016,55,180
make,VERB,get,make team,get team,2,117,team,Sports and Games Generally,26,3,4016,1,80
make,VERB,get,make result,get result,1,117,result,Sports and Games Generally,12,9,4016,55,180
make,VERB,get,make insurance,get insurance,1,117,insurance,Commerce,2,2,4016,20,47
make,VERB,get,make contract,get contract,1,117,contract,Commerce,2,2,4016,57,478
make,VERB,get,make contract,get contract,1,117,contract,Commerce,7,6,4016,57,478
make,VERB,get,make answer,get answer,2,117,answer,"Communicating, mainly by Speaking and Talking",3,2,4016,0,194
make,VERB,get,make call,get call,1,117,call,"Communicating, mainly by Speaking and Talking",68,14,4016,4,378
make,VERB,get,make question,get question,1,117,question,"Communicating, mainly by Speaking and Talking",68,14,4016,0,44
make,VERB,get,make boyfriend,get boyfriend,4,117,boyfriend,"Courting, Sex, and Marriage",20,3,4016,0,4
make,VERB,get,make girlfriend,get girlfriend,3,117,girlfriend,"Courting, Sex, and Marriage",20,3,4016,0,7
make,VERB,create,make environment,create environment,14,161,environment,Places,31,9,4016,0,193
make,VERB,create,make situation,create situation,5,161,situation,Places,31,9,4016,57,149
make,VERB,create,make site,create site,2,161,site,Places,31,9,4016,1,3
make,VERB,create,make image,create image,8,161,image,Arts and Crafts,15,5,4016,1,130
make,VERB,create,make style,create style,4,161,style,Arts and Crafts,15,5,4016,12,24
make,VERB,create,make illustration,create illustration,1,161,illustration,Arts and Crafts,15,5,4016,0,0
make,VERB,create,make atmosphere,create atmosphere,11,161,atmosphere,Weather and Temperature,11,1,4016,10,183
make,VERB,create,make atmosphere,create atmosphere,1,161,atmosphere,Weather and Temperature,11,1,4016,10,183
make,VERB,create,make advertisement,create advertisement,5,161,advertisement,Communication and Information,8,3,4016,5,5
make,VERB,create,make program,create program,2,161,program,Communication and Information,8,3,4016,2,205
make,VERB,create,make sense,create sense,1,161,sense,Communication and Information,9,7,4016,15,37
make,VERB,create,make harmony,create harmony,6,161,harmony,"Rightness, Fairness, Purpose, Use, & Strength",10,4,4016,0,3
make,VERB,create,make problem,create problem,1,161,problem,"Rightness, Fairness, Purpose, Use, & Strength",10,4,4016,0,520
make,VERB,cause,make trouble,cause trouble,55,192,trouble,"Bodily Conditions Relating to Health, Sickness, and Disability",108,7,4016,1,1
make,VERB,cause,make problem,cause problem,36,192,problem,"Bodily Conditions Relating to Health, Sickness, and Disability",108,7,4016,0,10
make,VERB,cause,make pollution,cause pollution,12,192,pollution,"Bodily Conditions Relating to Health, Sickness, and Disability",108,7,4016,3,55
make,VERB,cause,make typhoon,cause typhoon,2,192,typhoon,Weather and Temperature,7,5,4016,0,1
make,VERB,cause,make breath,cause breath,2,192,breath,Weather and Temperature,7,5,4016,0,0
make,VERB,cause,make rain,cause rain,1,192,rain,Weather and Temperature,7,5,4016,0,37
