error,pos,correction,error phrase,correct phrase,num of this error-correction phrase occur,num of this error-correction pair occur,collocation,category of collocation,total num of error time this error-correction pairs fall into this collocation category,unique num of error-correction pairs fall into this collocation category,total num of error occur,error_collocation,correction_collocation
big,ADJ,large,big amount,large amount,35,123,amount,"Size, Importance, and Availability",46,3,500,18,889
big,ADJ,large,big quantity,large quantity,3,123,quantity,"Size, Importance, and Availability",46,3,500,0,348
big,ADJ,large,big office,large office,29,123,office,Government,29,1,500,12,27
big,ADJ,large,big number,large number,8,123,number,Mathematics,16,2,500,0,279
big,ADJ,large,big proportion,large proportion,8,123,proportion,Mathematics,16,2,500,0,88
big,ADJ,large,big part,large part,9,123,part,Objects Generally,10,2,500,247,874
big,ADJ,large,big share,large share,1,123,share,Objects Generally,10,2,500,201,444
big,ADJ,large,big workroom,large workroom,3,123,workroom,Parts of Houses,9,3,500,0,0
big,ADJ,large,big window,large window,4,123,window,Parts of Houses,9,3,500,0,44
big,ADJ,large,big scale,large scale,2,123,scale,Parts of Houses,9,3,500,13,127
big,ADJ,large,big cake,large cake,4,123,cake,Food,8,4,500,0,6
big,ADJ,large,big sandwich,large sandwich,1,123,sandwich,Food,8,4,500,0,0
big,ADJ,large,big cream,large cream,2,123,cream,Food,8,4,500,0,0
big,ADJ,large,big pizza,large pizza,1,123,pizza,Food,8,4,500,0,8
big,ADJ,large,big country,large country,1,123,country,Social Organization in Group and Places,9,4,500,85,88
big,ADJ,large,big city,large city,4,123,city,Social Organization in Group and Places,9,4,500,403,621
big,ADJ,large,big cat,large cat,3,123,cat,Animals/ Mammals,4,2,500,0,0
big,ADJ,large,big island,large island,3,123,island,Geography,4,2,500,0,21
big,ADJ,large,big moon,large moon,1,123,moon,The Universe,6,3,500,8,15
big,ADJ,large,big sun,large sun,2,123,sun,The Universe,6,3,500,0,1
big,ADJ,large,big park,large park,1,123,park,Areas Around and Near Houses,1,1,500,0,27
big,ADJ,large,big glass,large glass,1,123,glass,"Equipment, Machines, and Instruments",3,2,500,0,16
big,ADJ,great,big happiness,great happiness,5,131,happiness,Happiness and Sadness,18,9,500,0,5
big,ADJ,great,big relief,great relief,1,131,relief,Happiness and Sadness,18,9,500,18,36
big,ADJ,great,big anxiety,great anxiety,1,131,anxiety,Happiness and Sadness,18,9,500,0,8
big,ADJ,great,big remorse,great remorse,1,131,remorse,Happiness and Sadness,18,9,500,0,7
big,ADJ,great,big delight,great delight,1,131,delight,Happiness and Sadness,18,9,500,0,9
big,ADJ,great,big joy,great joy,1,131,joy,Happiness and Sadness,18,9,500,0,38
big,ADJ,great,big enjoyment,great enjoyment,1,131,enjoyment,Happiness and Sadness,18,9,500,0,1
big,ADJ,great,big pleasure,great pleasure,6,131,pleasure,Happiness and Sadness,18,9,500,1,63
big,ADJ,great,big opportunity,great opportunity,1,131,opportunity,"Possibility, Chance, and Necessity",14,8,500,0,225
big,ADJ,great,big confidence,great confidence,3,131,confidence,"Possibility, Chance, and Necessity",14,8,500,0,72
big,ADJ,great,big importance,great importance,2,131,importance,"Possibility, Chance, and Necessity",14,8,500,0,124
big,ADJ,great,big chance,great chance,1,131,chance,"Possibility, Chance, and Necessity",14,8,500,35,87
big,ADJ,great,big fortune,great fortune,3,131,fortune,"Possibility, Chance, and Necessity",14,8,500,0,16
big,ADJ,great,big possibility,great possibility,1,131,possibility,"Possibility, Chance, and Necessity",14,8,500,0,15
big,ADJ,great,big danger,great danger,2,131,danger,"Possibility, Chance, and Necessity",14,8,500,38,141
big,ADJ,great,big pressure,great pressure,10,131,pressure,Causing,15,4,500,8,78
big,ADJ,great,big influence,great influence,2,131,influence,Causing,15,4,500,37,118
big,ADJ,great,big attention,great attention,1,131,attention,Causing,15,4,500,0,63
big,ADJ,great,big damage,great damage,10,131,damage,"Cutting, Joining, Breaking, and Destroying",10,1,500,15,49
big,ADJ,great,big fun,great fun,9,131,fun,Entertainment Generally,10,2,500,0,57
