error,pos,correction,error phrase,correct phrase,num of this error-correction phrase occur,num of this error-correction pair occur,collocation,category of collocation,total num of error time this error-correction pairs fall into this collocation category,unique num of error-correction pairs fall into this collocation category,total num of error occur,error_collocation,correction_collocation
big,ADJ,major,big hospital,major hospital,11,47,hospital,misc-ap-0,14,4,500,0,30
big,ADJ,great,big pressure,great pressure,10,131,pressure,Causing,15,4,500,8,78
big,ADJ,great,big fun,great fun,9,131,fun,Entertainment Generally,10,2,500,0,57
big,ADJ,large,big number,large number,8,123,number,Mathematics,16,2,500,0,279
big,ADJ,large,big proportion,large proportion,8,123,proportion,Mathematics,16,2,500,0,88
big,ADJ,great,big pleasure,great pleasure,6,131,pleasure,Happiness and Sadness,18,9,500,1,63
big,ADJ,large,big window,large window,4,123,window,Parts of Houses,9,3,500,0,44
big,ADJ,great,big popularity,great popularity,3,131,popularity,Linking and Not Linking,4,2,500,0,21
big,ADJ,great,big confidence,great confidence,3,131,confidence,"Possibility, Chance, and Necessity",14,8,500,0,72
big,ADJ,great,big fortune,great fortune,3,131,fortune,"Possibility, Chance, and Necessity",14,8,500,0,16
big,ADJ,large,big quantity,large quantity,3,123,quantity,"Size, Importance, and Availability",46,3,500,0,348
big,ADJ,significant,big opportunity,significant opportunity,3,27,opportunity,"Possibility, Chance, and Necessity",4,2,500,0,34
big,ADJ,large,big island,large island,3,123,island,Geography,4,2,500,0,21
big,ADJ,great,big stress,great stress,3,131,stress,"Relaxation, Excitement, Interest, and Surprise",5,3,500,0,27
big,ADJ,great,big progress,great progress,2,131,progress,"Moving, Coming, and going",5,3,500,3,46
big,ADJ,great,big pride,great pride,2,131,pride,"Admiration, Pride, Contempt, and Abuse",4,3,500,0,47
big,ADJ,great,big variety,great variety,2,131,variety,"Resemblance, Difference, and Change",3,2,500,3,51
big,ADJ,great,big sadness,great sadness,2,131,sadness,misc-ap-0,9,7,500,0,11
big,ADJ,great,big number,great number,2,131,number,Mathematics,7,3,500,0,331
big,ADJ,great,big importance,great importance,2,131,importance,"Possibility, Chance, and Necessity",14,8,500,0,124
big,ADJ,great,big pain,great pain,2,131,pain,"Bodily Conditions Relating to Health, Sickness, and Disability",5,2,500,2,84
big,ADJ,more,big relaxed,more relaxed,1,3,relaxed,Bodily States and Associated Activities,2,2,500,0,74
big,ADJ,great,big potential,great potential,1,131,potential,Doing Things,5,3,500,0,140
big,ADJ,great,big extent,great extent,1,131,extent,"Size, Importance, and Availability",2,2,500,0,103
big,ADJ,great,big honor,great honor,1,131,honor,misc-ap-0,9,7,500,0,45
big,ADJ,great,big speed,great speed,1,131,speed,"Moving, Coming, and going",5,3,500,0,41
big,ADJ,great,big attention,great attention,1,131,attention,Causing,15,4,500,0,63
big,ADJ,great,big courage,great courage,1,131,courage,Fear and Courage,2,2,500,0,27
big,ADJ,great,big distance,great distance,1,131,distance,misc-ap-0,9,7,500,0,46
big,ADJ,serious,big accident,serious accident,1,2,accident,"Being, Becoming, and Happening",2,2,500,4,124
big,ADJ,great,big opportunity,great opportunity,1,131,opportunity,"Possibility, Chance, and Necessity",14,8,500,0,225
big,ADJ,great,big sense,great sense,1,131,sense,Communication and Information,2,2,500,0,76
big,ADJ,great,big capacity,great capacity,1,131,capacity,Knowing and Learning,2,2,500,0,32
big,ADJ,large,big moon,large moon,1,123,moon,The Universe,6,3,500,8,15
big,ADJ,great,big significance,great significance,1,131,significance,"Possibility, Chance, and Necessity",14,8,500,0,56
big,ADJ,great,big possibility,great possibility,1,131,possibility,"Possibility, Chance, and Necessity",14,8,500,0,15
big,ADJ,high,big rate,high rate,1,4,rate,Commerce,3,3,500,0,18
big,ADJ,great,big feeling,great feeling,1,131,feeling,Feeling and Behavior Generally,2,2,500,0,68
big,ADJ,great,big degree,great degree,1,131,degree,Mathematics,7,3,500,0,107
big,ADJ,great,big joy,great joy,1,131,joy,Happiness and Sadness,18,9,500,0,38
big,ADJ,great,big energy,great energy,1,131,energy,"Rightness, Fairness, Purpose, Use, & Strength",8,3,500,4,13
big,ADJ,great,big expectation,great expectation,1,131,expectation,"Thinking, Judging and Remembering-",4,3,500,4,43
big,ADJ,heavy,big rain,heavy rain,1,3,rain,Weather and Temperature,2,2,500,0,919
big,ADJ,large,big glass,large glass,1,123,glass,"Equipment, Machines, and Instruments",3,2,500,0,16
big,ADJ,great,big tension,great tension,1,131,tension,Bodily States and Associated Activities,2,2,500,0,13
