error,pos,correction,error phrase,correct phrase,num of this error-correction phrase occur,num of this error-correction pair occur,collocation,category of collocation,total num of error time this error-correction pairs fall into this collocation category,unique num of error-correction pairs fall into this collocation category,total num of error occur,error_collocation,correction_collocation,error collocation,correction collocation
make,VERB,do,make cooking,do cooking,10,1073,cooking,misc-ap-0,140,74,4016,3,39,3,39
make,VERB,do,make lesson,do lesson,5,1073,lesson,misc-ap-0,140,74,4016,0,10,0,10
make,VERB,do,make internship,do internship,1,1073,internship,misc-ap-0,140,74,4016,0,2,0,2
make,VERB,do,make american,do american,1,1073,american,misc-ap-0,140,74,4016,57,61,57,61
make,VERB,do,make packing,do packing,1,1073,packing,misc-ap-0,140,74,4016,0,0,0,0
make,VERB,do,make holiday,do holiday,1,1073,holiday,misc-ap-0,140,74,4016,0,0,0,0
make,VERB,do,make t,do t,1,1073,t,misc-ap-0,140,74,4016,0,0,0,0
make,VERB,do,make pose,do pose,1,1073,pose,misc-ap-0,140,74,4016,0,0,0,0
make,VERB,do,make cloning,do cloning,1,1073,cloning,misc-ap-0,140,74,4016,0,0,0,0
make,VERB,do,make apprenticeship,do apprenticeship,1,1073,apprenticeship,misc-ap-0,140,74,4016,0,0,0,0
make,VERB,do,make dubbing,do dubbing,1,1073,dubbing,misc-ap-0,140,74,4016,0,0,0,0
make,VERB,do,make manufacturer,do manufacturer,1,1073,manufacturer,misc-ap-0,140,74,4016,0,4,0,4
make,VERB,do,make webpage,do webpage,1,1073,webpage,misc-ap-0,140,74,4016,0,0,0,0
make,VERB,do,make networking,do networking,1,1073,networking,misc-ap-0,140,74,4016,3,3,3,3
make,VERB,do,make hurdle,do hurdle,1,1073,hurdle,misc-ap-0,140,74,4016,0,0,0,0
make,VERB,do,make survey,do survey,2,1073,survey,misc-ap-0,140,74,4016,0,133,0,133
make,VERB,do,make doctor,do doctor,1,1073,doctor,misc-ap-0,140,74,4016,1,11,1,11
make,VERB,do,make haircut,do haircut,5,1073,haircut,misc-ap-0,140,74,4016,0,0,0,0
make,VERB,do,make procedure,do procedure,2,1073,procedure,misc-ap-0,140,74,4016,0,0,0,0
make,VERB,do,make poetry,do poetry,1,1073,poetry,misc-ap-0,140,74,4016,0,0,0,0
make,VERB,do,make -,do -,1,1073,-,misc-ap-0,140,74,4016,0,0,0,0
make,VERB,do,make e,do e,1,1073,e,misc-ap-0,140,74,4016,0,0,0,0
make,VERB,do,make marketing,do marketing,1,1073,marketing,misc-ap-0,140,74,4016,4,26,4,26
make,VERB,do,make tutorial,do tutorial,1,1073,tutorial,misc-ap-0,140,74,4016,0,0,0,0
make,VERB,do,make coding,do coding,1,1073,coding,misc-ap-0,140,74,4016,0,0,0,0
make,VERB,do,make sequence,do sequence,1,1073,sequence,misc-ap-0,140,74,4016,0,0,0,0
make,VERB,do,make entertainer,do entertainer,1,1073,entertainer,misc-ap-0,140,74,4016,0,0,0,0
make,VERB,do,make photoshop,do photoshop,1,1073,photoshop,misc-ap-0,140,74,4016,0,0,0,0
make,VERB,do,make touring,do touring,1,1073,touring,misc-ap-0,140,74,4016,0,0,0,0
make,VERB,do,make cross,do cross,1,1073,cross,misc-ap-0,140,74,4016,0,0,0,0
make,VERB,do,make photoshoot,do photoshoot,1,1073,photoshoot,misc-ap-0,140,74,4016,0,0,0,0
make,VERB,do,make washing,do washing,4,1073,washing,misc-ap-0,140,74,4016,0,4,0,4
make,VERB,do,make perm,do perm,1,1073,perm,misc-ap-0,140,74,4016,0,0,0,0
make,VERB,do,make cpr,do cpr,1,1073,cpr,misc-ap-0,140,74,4016,0,3,0,3
make,VERB,do,make blog,do blog,2,1073,blog,misc-ap-0,140,74,4016,0,0,0,0
make,VERB,do,make skydive,do skydive,1,1073,skydive,misc-ap-0,140,74,4016,0,0,0,0
make,VERB,do,make pumpkin,do pumpkin,1,1073,pumpkin,misc-ap-0,140,74,4016,0,0,0,0
