error,pos,correction,error phrase,correct phrase,num of this error-correction phrase occur,num of this error-correction pair occur,collocation,category of collocation,total num of error time this error-correction pairs fall into this collocation category,unique num of error-correction pairs fall into this collocation category,total num of error occur,error_collocation,correction_collocation
very,ADV,really,very look,really look,178,2225,look,"Being, Becoming, and Happening",355,4,2791,0,35
rich,ADJ,affluent,rich people,affluent people,154,34,people,Social Organization in Group and Places,161,3,80,6,24
know,VERB,find,know site,find site,153,383,site,Places,160,4,1380,0,82
keep,VERB,maintain,keep health,maintain health,132,122,health,"Bodily Conditions Relating to Health, Sickness, and Disability",140,3,311,3,11
very,ADV,really,very wonderful,really wonderful,111,2225,wonderful,Good and Evil,385,14,2791,7,17
very,ADV,really,very like,really like,109,2225,like,Feeling and Behavior Generally,210,11,2791,0,38
make,VERB,give,make presentation,give presentation,103,337,presentation,"Belonging and Owning, Getting and Giving",105,2,4016,1,32
join,VERB,attend,join meeting,attend meeting,94,828,meeting,Travel and Visiting,121,5,1077,1,1224
make,VERB,give,make speech,give speech,71,337,speech,"Communicating, mainly by Speaking and Talking",105,12,4016,2,410
watch,VERB,see,watch movie,see movie,68,522,movie,Communication and Information,97,14,641,1,233
good,ADJ,well,good do,well do,65,504,do,misc-ap-0,99,18,1489,0,13
join,VERB,attend,join event,attend event,61,828,event,"Being, Becoming, and Happening",103,3,1077,0,124
take,VERB,have,take interview,have interview,58,607,interview,Travel and Visiting,68,5,2016,0,52
play,VERB,perform,play music,perform music,57,52,music,misc-ap-0,58,2,375,4,47
learn,VERB,acquire,learn knowledge,acquire knowledge,53,131,knowledge,Knowing and Learning,59,3,473,0,12
make,VERB,do,make thing,do thing,52,1073,thing,Objects Generally,58,6,4016,1,5340
ability,NOUN,skill,ability english,skill english,52,63,english,misc-ap-0,56,2,85,1,14
few,ADJ,little,few time,little time,50,160,time,Time Generally,51,2,219,0,362
get,VERB,have,get time,have time,49,941,time,Time Generally,68,9,3029,0,2555
make,VERB,have,make conversation,have conversation,45,536,conversation,"Communicating, mainly by Speaking and Talking",68,14,4016,1,264
keep,VERB,maintain,keep relationship,maintain relationship,43,122,relationship,"Cutting, Joining, Breaking, and Destroying",48,3,311,0,102
take,VERB,have,take lunch,have lunch,42,607,lunch,Food Generally,137,12,2016,1,228
very,ADV,really,very amazing,really amazing,41,2225,amazing,misc-ap-0,119,22,2791,2,14
very,ADV,absolutely,very wonderful,absolutely wonderful,40,121,wonderful,Good and Evil,77,5,2791,7,18
join,VERB,attend,join class,attend class,39,828,class,"Being, Becoming, and Happening",103,3,1077,0,219
take,VERB,do,take exercise,do exercise,39,131,exercise,Sports and Games Generally,40,2,2016,3,31
good,ADJ,well,good speak,well speak,39,504,speak,"Communicating, mainly by Speaking and Talking",41,3,1489,0,11
very,ADV,really,very want,really want,38,2225,want,Feeling and Behavior Generally,210,11,2791,0,103
do,VERB,take,do action,take action,38,121,action,"Warfare, Defense, and the Army",39,2,1814,0,21
many,ADJ,numerous,many study,numerous study,37,150,study,Knowing and Learning,50,4,516,0,37
make,VERB,do,make work,do work,34,1073,work,Doing Things,40,4,4016,3,2367
get,VERB,score,get goal,score goal,34,33,goal,Sports and Games Generally,40,4,3029,0,758
take,VERB,have,take dinner,have dinner,34,607,dinner,Food Generally,137,12,2016,0,199
go,VERB,attend,go party,attend party,33,12,party,Entertainment Generally,35,2,1193,0,150
get,VERB,achieve,get success,achieve success,33,88,success,Doing Things,37,2,3029,0,126
take,VERB,have,take picture,have picture,33,607,picture,Communication and Information,47,2,2016,1,223
good,ADJ,positive,good aspect,positive aspect,32,30,aspect,Grammar,33,2,1489,4,54
join,VERB,attend,join festival,attend festival,31,828,festival,misc-ap-0,156,36,1077,0,56
say,VERB,express,say opinion,express opinion,31,61,opinion,"Thinking, Judging and Remembering-",34,4,838,0,185
person,NOUN,people,person young,people young,31,1827,young,"Old, New, and Young",107,7,1888,0,83
join,VERB,attend,join concert,attend concert,30,828,concert,Music and Related Activities,47,10,1077,0,51
loose,VERB,lose,loose weight,lose weight,30,181,weight,"Equipment, Machines, and Instruments",32,3,186,2,219
get,VERB,have,get fun,have fun,29,941,fun,Entertainment Generally,38,6,3029,4,708
join,VERB,attend,join people,attend people,29,828,people,People,61,11,1077,1,12
take,VERB,have,take operation,have operation,28,607,operation,Industry and Work,30,3,2016,0,463
say,VERB,tell,say truth,tell truth,28,361,truth,"Being, Becoming, and Happening",29,2,838,0,503
join,VERB,attend,join ceremony,attend ceremony,27,828,ceremony,misc-ap-0,156,36,1077,0,291
very,ADV,really,very enjoy,really enjoy,27,2225,enjoy,Feeling and Behavior Generally,210,11,2791,1,13
make,VERB,have,make effect,have effect,26,536,effect,Causing,41,8,4016,1,3733
join,VERB,attend,join seminar,attend seminar,26,828,seminar,misc-ap-0,156,36,1077,0,81
usual,ADJ,normal,usual day,normal day,26,58,day,Periods of Time and their Measurement,27,2,121,0,46
take,VERB,get,take job,get job,26,497,job,"Business, Work, and Employment",27,2,2016,4,1115
get,VERB,have,get accident,have accident,26,941,accident,"Being, Becoming, and Happening",58,14,3029,0,122
do,VERB,have,do conversation,have conversation,25,316,conversation,"Communicating, mainly by Speaking and Talking",36,7,1814,0,264
get,VERB,have,get interview,have interview,24,941,interview,Travel and Visiting,32,8,3029,0,52
user,NOUN,speaker,user english,speaker english,24,19,english,misc-ap-0,30,4,36,0,30
cause,VERB,have,cause effect,have effect,23,37,effect,Causing,27,3,303,1,3733
get,VERB,achieve,get goal,achieve goal,23,88,goal,Sports and Games Generally,32,3,3029,0,531
lean,VERB,learn,lean language,learn language,23,410,language,misc-ap-0,46,11,426,0,66
make,VERB,keep,make diary,keep diary,22,77,diary,"Communicating, mainly by Reading and Writing, Printing and Publishing, Radio andF",24,3,4016,0,61
