錯誤字,錯誤搭配,正確搭配,此錯誤-正確搭配總錯誤次數,此錯誤-正確總錯誤次數,此搭配詞,此搭配詞分類,此錯誤正確累積此分類錯誤總次數,此錯誤正確累積此搭配詞分類唯一次數,此錯誤總次次數
rage,rage great,degree great,1,1,great,Good and Evil,1,1,5
rage,rage great,degree great,1,1,great,"Size, Importance, and Availability",1,1,5
rage,rage city,large city,1,1,city,Social Organization in Group and Places,1,1,5
rage,rage wide,range wide,2,2,wide,Measurement,2,1,5
rage,rage wide,range wide,2,2,wide,Actions and Positions,2,1,5
shop,shop many,people many,2,1,many,"Size, Importance, and Availability",2,1,57
shop,shop fast,restaurant fast,2,15,fast,Food Generally,2,1,57
shop,shop fast,restaurant fast,2,15,fast,"Moving, Coming, and going",2,1,57
shop,shop more,restaurant more,2,15,more,"Size, Importance, and Availability",3,2,57
shop,shop familiar,restaurant familiar,1,15,familiar,"General, Usual, Unusual, etc",1,1,57
shop,shop other,restaurant other,2,15,other,"Resemblance, Difference, and Change",2,1,57
shop,shop many,restaurant many,1,15,many,"Size, Importance, and Availability",3,2,57
shop,shop many,shop many,1,4,many,"Size, Importance, and Availability",1,1,57
faithfully,faithfully your,sincerely your,49,56,your,misc-ap-0,51,2,57
faithfully,faithfully yours,sincerely yours,2,56,yours,misc-ap-0,51,2,57
faithfully,faithfully good,sincerely good,1,56,good,Good and Evil,1,1,57
faithfully,faithfully good,sincerely good,1,56,good,Knowing and Learning,1,1,57
faithfully,faithfully good,sincerely good,1,56,good,Weather and Temperature,1,1,57
faithfully,faithfully good,wish good,1,1,good,Good and Evil,1,1,57
faithfully,faithfully good,wish good,1,1,good,Knowing and Learning,1,1,57
faithfully,faithfully good,wish good,1,1,good,Weather and Temperature,1,1,57
house,house single,household single,1,15,single,"Courting, Sex, and Marriage",1,1,119
house,house single,household single,1,15,single,Numbers and Quantities,1,1,119
house,house own,home own,2,34,own,"Belonging and Owning, Getting and Giving",2,1,119
house,house other,reason other,1,1,other,"Resemblance, Difference, and Change",1,1,119
house,house next,door next,3,3,next,misc-ap-0,3,1,119
house,house big,house big,1,4,big,"Size, Importance, and Availability",1,1,119
house,house many,building many,1,1,many,"Size, Importance, and Availability",1,1,119
preferable,preferable meal,favourite meal,1,2,meal,Food Generally,1,1,5
preferable,preferable meal,favourite meal,1,2,meal,Food,1,1,5
preferable,preferable pet,favourite pet,1,2,pet,"Courting, Sex, and Marriage",1,1,5
preferable,preferable pet,favourite pet,1,2,pet,Indoor Games,1,1,5
preferable,preferable leisure,suitable leisure,1,1,leisure,Entertainment Generally,1,1,5
preferable,preferable one,superior one,3,1,one,General Grammatical Words,3,1,5
preferable,preferable one,superior one,3,1,one,Numbers and Quantities,3,1,5
good,good programme,excellent programme,14,31,programme,Mathematics,19,2,1559
